attribute,type,unit,default,description,status,requirement
**id**,int,n/a,n/a,Unique id,Input,required
**from_node**,int,n/a,n/a,Node where Edge begins,Input,required
**to_node**,int,n/a,n/a,Node where Edge ends,Input,required
**length**,float,m,n/a,Length of the Edge,Input,required
**existing**,bool,n/a,0,Binary indicating and existing pipe,Input,optional
**capacity**,float,kW,0,Capacity for existing pipe,Input,optional
**pipe_type**,str,n/a,'nan',Type_label of existing pipe,Input,optional
**active**,bool,n/a,1,Binary indicating that edge is available,Input,optional
**add_fix_costs**,float,Eur/m,0,Additional fix investment costs,Input,optional
