attribute,type,unit,default,description,status,requirement
id,int,n/a,n/a,Unique id,Input,required
component_type,str,--,Consumer,Component type,Input,optional
lat,float,n/a,n/a,Geographic latitude,Input,optional
lon,float,n/a,n/a,Geographic longitude,Input,optional
mass_flow,float/sequence,kg/s,n/a,Mass flow,Input,optional
delta_temp_drop,float/sequence,kg/s,n/a,Temperature drop from inlet to return,Input,optional
zeta_inlet,float,--,n/a,Localized pressure loss coefficient for inlet flow,Input,optional
zeta_return,float,--,n/a,Localized pressure loss coefficient for return flow,Input,optional
